Type,StartX,StartY,EndX,EndY,Width
Wall,254245.3229745425,2821268.851365282,254241.72668564005,2821270.4150019754,0.0
Wall,254239.03870080988,2821269.471682374,254238.69940404175,2821268.6188830333,0.0
Wall,254238.44053387473,2821267.968230482,254238.09621180798,2821267.1028003953,0.0
Wall,254237.8750404736,2821266.546901295,254237.59104017622,2821265.833085871,0.0
Wall,254237.59104017622,2821265.833085871,254238.73547070986,2821265.3940527206,0.0
Wall,254241.30364999096,2821270.5989343794,254240.74374938128,2821270.842374537,0.0
Wall,254240.35803903767,2821271.0100782067,254239.75507562028,2821271.272241717,0.0
Wall,254239.75507562028,2821271.272241717,254239.34029632056,2821270.229722169,0.0
Wall,254241.14918122595,2821264.4680909426,254243.24690131875,2821263.663351263,0.0
Wall,254243.24690131875,2821263.663351263,254245.3229745425,2821268.851365282,0.0
Wall,254239.19280525323,2821265.218607362,254240.11382622996,2821264.8652798957,0.0
Wall,254239.49836292202,2821249.5963125303,254238.29951724497,2821250.1808969923,0.0
Wall,254238.29951724497,2821250.1808969923,254239.0605675495,2821251.741632741,0.0
Wall,254239.26430292823,2821252.1594462376,254239.59387667722,2821252.8353247293,0.0
Wall,254239.82757343617,2821253.3145819926,254240.27474807503,2821254.231632338,0.0
Wall,254240.27474807503,2821254.231632338,254240.99449433928,2821253.880667664,0.0
Wall,254241.5227329076,2821253.6230865046,254242.19838747178,2821253.293621948,0.0
Wall,254242.70205646235,2821253.0480214744,254243.8837331432,2821252.4718090063,0.0
Wall,254243.8837331432,2821252.4718090063,254243.5234455036,2821251.732943526,0.0
Wall,254243.35866006245,2821251.3950072196,254241.90850231313,2821248.4210736607,0.0
Wall,254241.90850231313,2821248.4210736607,254240.69611439545,2821249.0122616272,0.0
Wall,254247.6960162682,2821250.085953388,254248.16343415313,2821251.044517885,0.0
Wall,254248.16343415313,2821251.044517885,254252.13474033988,2821249.1080185226,0.0
Wall,254252.13474033988,2821249.1080185226,254250.03858610743,2821244.8092976282,0.0
Wall,254250.03858610743,2821244.8092976282,254248.88275851667,2821245.3729054914,0.0
Wall,254247.69729330283,2821245.950965334,254246.06727992068,2821246.745796991,0.0
Wall,254246.06727992068,2821246.745796991,254247.47917287517,2821249.641258427,0.0
Wall,254258.43052557795,2821246.0724986587,254255.7570846087,2821242.8349392125,0.0
Wall,254255.7570846087,2821242.8349392125,254254.77729555083,2821243.6440079734,0.0
Wall,254253.81122551087,2821244.4417481436,254252.57633273155,2821245.4614708708,0.0
Wall,254252.57633273155,2821245.4614708708,254255.442317539,2821248.932202521,0.0
Wall,254255.442317539,2821248.932202521,254258.43052557795,2821246.0724986587,0.0
Wall,254236.11754567275,2821235.9792197742,254235.00715841743,2821236.5206698948,0.0
Wall,254235.00715841743,2821236.5206698948,254236.8992633668,2821240.400933548,0.0
Wall,254236.8992633668,2821240.400933548,254240.34794466165,2821238.7192779877,0.0
Wall,254240.34794466165,2821238.7192779877,254238.4558397123,2821234.8390143346,0.0
Wall,254238.4558397123,2821234.8390143346,254236.90622823642,2821235.5946401902,0.0
Wall,254270.17297785793,2821226.2107132403,254266.99158360102,2821217.6620599637,0.0
Wall,254266.99158360102,2821217.6620599637,254263.04431298477,2821219.1310426984,0.0
Wall,254261.9390779518,2821219.542357589,254261.5827476988,2821219.674966432,0.0
Wall,254261.5827476988,2821219.674966432,254264.63856871612,2821227.8861946682,0.0
Wall,254264.63856871612,2821227.8861946682,254270.17297785793,2821226.2107132403,0.0
Wall,254251.27914471182,2821223.346161615,254248.338798777,2821219.290214811,0.0
Wall,254248.338798777,2821219.290214811,254246.81140243763,2821220.2929924414,0.0
Wall,254245.5943742898,2821221.0920048337,254243.98482985699,2821222.148714943,0.0
Wall,254243.98482985699,2821222.148714943,254246.99282221726,2821226.3579258546,0.0
Wall,254246.99282221726,2821226.3579258546,254251.27914471182,2821223.346161615,0.0
Wall,254229.71231231597,2821221.874803003,254227.29897821698,2821218.2651736243,0.0
Wall,254227.29897821698,2821218.2651736243,254225.76047434172,2821219.293789993,0.0
Wall,254225.04234680068,2821219.7739173137,254223.60202786716,2821220.736888974,0.0
Wall,254223.60202786716,2821220.736888974,254226.01536196616,2821224.3465183526,0.0
Wall,254226.01536196616,2821224.3465183526,254229.71231231597,2821221.874803003,0.0
Wall,254212.04697644373,2821167.069951326,254209.7616547494,2821163.050828917,0.0
Wall,254209.7616547494,2821163.050828917,254210.80514555387,2821162.3537514987,0.0
Wall,254210.80514555387,2821162.3537514987,254206.81667431624,2821155.5198620157,0.0
Wall,254206.81667431624,2821155.5198620157,254205.4196086511,2821156.201103059,0.0
